Setting,Model,Random AUPRC,F1,MCC,AUROC,AUPRC,AUPRC / Random,Best mean AUPRC,Lowest AUPRC std
Yeast Full,Global branch,0.0909,0.2591 ± 0.0159,0.2083 ± 0.0260,0.7722 ± 0.0308,0.3560 ± 0.0231,3.92×,False,True
Yeast Full,ESM2-GP,0.0909,0.2551 ± 0.0098,0.2077 ± 0.0122,0.7756 ± 0.0116,0.3317 ± 0.0325,3.65×,False,False
Yeast Full,Partner-aware Local,0.0909,0.2630 ± 0.0142,0.2205 ± 0.0227,0.7874 ± 0.0243,0.3647 ± 0.0319,4.01×,False,False
Yeast Full,PaGL-PPI,0.0909,0.2645 ± 0.0124,0.2224 ± 0.0178,0.7924 ± 0.0164,0.3855 ± 0.0255,4.24×,True,False
